"tree_species_uuid","tree_species_name","collection","speciesable_id","speciesable_type","project_uuid","project_name","framework_key"
c8f8fcb3-0f5b-481d-bb54-15933c05fb98,Micropygomyia paterna,tree-planted,22,App\Models\V2\Projects\Project,"3ca98137-ad7a-4849-bdf9-f1e6ccdfb40f",FONCET/Restauración en Áreas Naturales Protegidas,ppc
"73e6b95d-9993-4fd6-8625-053865fde419",Pinus oaxacana,tree-planted,26,App\Models\V2\Projects\Project,"5a49e268-80f8-4fe9-a802-c29ad5534629","WWF/RESTAURACIÓN DE PAISAJES EN LA SIERRA SUR, OAXACA",ppc
e5cde3c6-4035-4d5a-bba4-b574b5efcdf4,Quirisiña,tree-planted,27,App\Models\V2\Projects\Project,"2031d882-5d27-49b9-9cf1-efc5e486d1e1","UCIRI/Restauración ecológica y productiva de paisajes, con sistemas agroforestales de café y cacao bajo sombra, en Cerro de las Flores, Istmo, Oaxaca",ppc
"64ba6bee-190c-4711-b256-60ee4eca3957",Mixed Indigenous  species,tree-planted,56,App\Models\V2\Projects\Project,"3a860077-df4c-4e95-8fec-41520c551243",FairTree TZ Usambaras,terrafund
b81f3528-2cb6-4253-884a-58e59db0cc78,Other fruit and timber trees,tree-planted,66,App\Models\V2\Projects\Project,fdde47ac-770e-4b7b-861b-9e4520ba906c,BADILI: Building Agroforestry and Developing Independent Livelihoods in Iringa - Trees for the Future,terrafund
"23ab3599-6243-423d-9260-ac109e54557b",Tukumombo,tree-planted,96,App\Models\V2\Projects\Project,"128c2ac7-dd30-4093-a079-6e9111aa3351",Restauration et protection des forets communautaires et de la biodiversité par la plantation et gestion rationnelle d'arbres hôtes des chenilles comestibles par les jeunes et femmes autochtones en territoire de Mwenga au Sud Kivu - CCAO,terrafund
"2b9ce114-1761-4cc4-82f4-62ce05376028",Assorted fruits,tree-planted,111,App\Models\V2\Projects\Project,"5b6a5e11-03ae-4adc-b4ef-9bf4239aa705",REFORESTATION - Nsamizi (NTISD),terrafund
"40197a1b-069a-4557-a1cc-0e54b98740b9",Unidentified trees and shrubs,tree-planted,265,App\Models\V2\Projects\Project,a727d737-370f-4ac0-889c-88b7b190e4ff,Promoting biodiversity conservation and livelihood improvement of forest fringe communities in Bono Region of Ghana,terrafund-landscapes
"335e7be2-e673-4c3a-b14a-f2f2c62cb611",Marvel -Grass (Dichanthium annulatum),tree-planted,598,App\Models\V2\Projects\Project,"3e7143c5-e6fc-4cee-b482-075541fdc95f",Land Restoration Programme through capacitating Women Farmers in Tuljapur Block of Dharashiv District,hbf
fa6fb0e6-68d5-41ac-8485-3386d79b227d,Dinanath-Grass (Pennisetum pedicellatum),tree-planted,598,App\Models\V2\Projects\Project,"3e7143c5-e6fc-4cee-b482-075541fdc95f",Land Restoration Programme through capacitating Women Farmers in Tuljapur Block of Dharashiv District,hbf
"440af954-8421-4979-b05b-b86834668496",Bamboo (Bambusa vulgaris),tree-planted,598,App\Models\V2\Projects\Project,"3e7143c5-e6fc-4cee-b482-075541fdc95f",Land Restoration Programme through capacitating Women Farmers in Tuljapur Block of Dharashiv District,hbf
"38f2aa22-108c-491f-bb13-53ca60a95607",Mango - Mangifera Indica,tree-planted,598,App\Models\V2\Projects\Project,"3e7143c5-e6fc-4cee-b482-075541fdc95f",Land Restoration Programme through capacitating Women Farmers in Tuljapur Block of Dharashiv District,hbf
"58ae1233-3bf5-4589-b60b-86bd17d9d0c8",Neem-Azadirachta Indica,tree-planted,598,App\Models\V2\Projects\Project,"3e7143c5-e6fc-4cee-b482-075541fdc95f",Land Restoration Programme through capacitating Women Farmers in Tuljapur Block of Dharashiv District,hbf
bf2de197-45d7-43bd-b685-88b4156294a7,Guava - Psidium Guajava,tree-planted,598,App\Models\V2\Projects\Project,"3e7143c5-e6fc-4cee-b482-075541fdc95f",Land Restoration Programme through capacitating Women Farmers in Tuljapur Block of Dharashiv District,hbf
"36d311da-bccd-4550-beae-9c50f18934cb",Babool-Vachellia nilotica,tree-planted,598,App\Models\V2\Projects\Project,"3e7143c5-e6fc-4cee-b482-075541fdc95f",Land Restoration Programme through capacitating Women Farmers in Tuljapur Block of Dharashiv District,hbf
"8b7d7770-5a32-49b2-bd80-8f799a632b86",Khair-Acacia Catechu,tree-planted,598,App\Models\V2\Projects\Project,"3e7143c5-e6fc-4cee-b482-075541fdc95f",Land Restoration Programme through capacitating Women Farmers in Tuljapur Block of Dharashiv District,hbf
