variant,taxonomic_name,match_type
\boranges\b,citrus sinensis,regex
citrus cinensis,citrus sinensis,regex
citrus sinensis,citrus sinensis,regex
citrus x sinensis,citrus sinensis,regex
citrus â sinensis,citrus sinensis,regex
cutrus siensis,citrus sinensis,regex
orangiers,citrus sinensis,regex
grape fruit,citrus paridisi,exact
mangifera,mangifera indica,exact
\bmango\b,mangifera indica,regex
\bmangoes\b,mangifera indica,regex
\bmangos\b,mangifera indica,regex
amrapali,mangifera indica,regex
mangifer endica,mangifera indica,regex
mangifera endica,mangifera indica,regex
mangifera indica,mangifera indica,regex
manguier,mangifera indica,regex
manguifera indica,mangifera indica,regex
manjifera indidca,mangifera indica,regex
casaava,manihot glaziovii,regex
cassava,manihot glaziovii,regex
achuechue,lannea welwitschii,regex
orita multicola,lannea welwitschii,regex
\bmai\b,zea mays,regex
\bmais\b,zea mays,regex
\bmaize\b,zea mays,regex
\bmao\b,zea mays,regex
\bmaoes\b,zea mays,regex
\bmaos\b,zea mays,regex
\bzea\b,zea mays,regex
milanga,uapaca,regex
uapaca spp,uapaca,regex
misela,uapaca guineensis,regex
uapaca guineensis,uapaca guineensis,regex
aukapa kirkiana,uapaca kirkiana,regex
uapaca kirkiana,uapaca kirkiana,regex
soja,glycine max,regex
balanites aegyptiaca,balanites aegyptiaca,regex
balanites egyptiaca,balanites aegyptiaca,regex
balanites egyptica,balanites aegyptiaca,regex
balanities eygptica,balanites aegyptiaca,regex
ballantines,balanites,exact
cafe robusta,coffea robusta,regex
cafe robuster,coffea robusta,regex
caffea robusta,coffea robusta,regex
cofea robusta,coffea robusta,regex
robusta coffee,coffea robusta,regex
cafe arabica,coffea arabica,regex
cafeiers arabica,coffea arabica,regex
cofea arabica,coffea arabica,regex
coffe arabica,coffea arabica,regex
coffe arabiga,coffea arabica,regex
coffea arab,coffea arabica,regex
coffea arabic,coffea arabica,regex
coffea arabica,coffea arabica,regex
coffea arabiga,coffea arabica,regex
coffea arabira,coffea arabica,regex
coffee arabica,coffea arabica,regex
coffefa arabica,coffea arabica,regex
coffeia arabica,coffea arabica,regex
coffie arabica,coffea arabica,regex
cafe,coffea,exact
coffea,coffea,exact
coffee,coffea,exact
african tulip,spathodea campanulata,regex
african tulip tree,spathodea campanulata,regex
spathodea campanulata,spathodea campanulata,regex
spatodea campanulata,spathodea campanulata,regex
\bemire\b,terminalia ivorensis,regex
\bframire\b,terminalia ivorensis,regex
\bframirÃ©\b,terminalia ivorensis,regex
gbaji,terminalia ivorensis,regex
ivory coast almond,terminalia ivorensis,regex
tamalia ivorensis,terminalia ivorensis,regex
terminalia ivorensis,terminalia ivorensis,regex
terminalis ivonronsis,terminalia ivorensis,regex
acajou de bassam,khaya ivorensis,regex
accajou de bassam,khaya ivorensis,regex
ivorensis,khaya ivorensis,regex
khama ivorensis,khaya ivorensis,regex
khaya ivorensis,khaya ivorensis,regex
khya ivorensis,khaya ivorensis,regex
kaya senegalensis,khaya senegalensis,regex
khaya senegalensis,khaya senegalensis,regex
caoba,swietenia macrophylla,exact
swietenia macrophylla,swietenia macrophylla,regex
swietenia mahogani,swietenia mahogani,regex
khaya anthethe,khaya anthotheca,regex
khaya anthotheca,khaya anthotheca,regex
khaya grandifolia,khaya grandifolia,regex
\bmahagany\b,khaya,regex
\bmahogany\b,khaya,regex
frake,terminalia superba,exact
ofram,terminalia superba,exact
terminalia of superba,terminalia superba,regex
terminalia super,terminalia superba,regex
terminalia superba,terminalia superba,regex
\btree tomatoes\b,solanum betaceum,regex
tamarillo,solanum betaceum,regex
\btomaotoes\b,solanum lycopersicum,regex
\btomate\b,solanum lycopersicum,regex
\btomates\b,solanum lycopersicum,regex
\btomato\b,solanum lycopersicum,regex
\btomatoes\b,solanum lycopersicum,regex
\btotame\b,solanum lycopersicum,regex
trema orientalis,trema orientalis,regex
papaya,carica papaya,regex
papayer,carica papaya,regex
paw paw,carica papaya,regex
pawpaw,carica papaya,regex
corossolier,annona muricata,regex
crossolier,annona muricata,regex
guanabana,annona muricata,regex
annona cherimola,annona cherimola,regex
annona reticulata,annona reticulata,regex
annona squamosa,annona squamosa,regex
custard apple,annona squamosa,regex
haritaria utilis,heritiera utilis,regex
heritaria utilis,heritiera utilis,regex
heritaria utlis,heritiera utilis,regex
china berry,melia azedarach,regex
chinaberry,melia azedarach,regex
melia azadirach,melia azedarach,regex
melia azedach,melia azedarach,regex
melia azerach,melia azedarach,regex
melia,melia volkensii,exact
melia volkensi,melia volkensii,regex
melia volkensii,melia volkensii,regex
etenghi,isoberlinia doka,regex
isobelina duka,isoberlinia doka,regex
isobelinia duka,isoberlinia doka,regex
isoberlina doka,isoberlinia doka,regex
isoberlinia duka,isoberlinia doka,regex
cacia siamea,senna siamea,regex
senna enamea,senna siamea,regex
senna senamia,senna siamea,regex
senna siamea,senna siamea,regex
bauhinia petersianasian,bauhinia petersiana,regex
\bplaintain\b,musa x paradisiaca,regex
\bplantain\b,musa x paradisiaca,regex
\bplantin\b,musa x paradisiaca,regex
musa paradisiaca,musa x paradisiaca,regex
\bbanana\b,musa acuminata,regex
\bbananas\b,musa acuminata,regex
musaceae banana,musa acuminata,regex
faideiherbia albida,faidherbia albida,regex
faiderbia albida,faidherbia albida,regex
faidherbia albida,faidherbia albida,regex
musangu,faidherbia albida,regex
apple,malus domestica,exact
apples,malus domestica,exact
malus domestica,malus domestica,regex
senga wambugu,malus domestica,regex
syzgium guineense,syzygium guineense,regex
syzigium guineines,syzygium guineense,regex
syzygium guineense,syzygium guineense,regex
syzygium guineese,syzygium guineense,regex
syzygium quinensi,syzygium guineense,regex
water berry,syzygium cordatum,exact
syzgium cordatum,syzygium cordatum,regex
syzygium cordatum,syzygium cordatum,regex
syzygium zeyheri,eugenia zeyheri,regex
jamun,syzygium cumini,exact
sygizium cumini,syzygium cumini,regex
syzygium cumini,syzygium cumini,regex
zysygium cuminii,syzygium cumini,regex
vitex payos,vitex payos,regex
beetroot,beta vulgaris,regex
swiss chard,beta vulgaris,regex
azadirachita,azadirachita indica,exact
azadirachta,azadirachita indica,exact
\bneem\b,azadirachita indica,regex
axadirachta,azadirachita indica,regex
azadirachta indica,azadirachita indica,regex
azadiratcha indica,azadirachita indica,regex
azadiritcha indica,azadirachita indica,regex
azadirochata indica,azadirachita indica,regex
azandiratcha indica,azadirachita indica,regex
azidracta indica,azadirachita indica,regex
azadirachta excelsa,azadirachta excelsa,regex
swartzia madagacahensis,swartzia mangabalensis,regex
swatziz madagacahensis,swartzia mangabalensis,regex
beans,vicia,exact
bean - planted in ha,vicia,regex
brachystegia,brachystegia,exact
brachystegia spec,brachystegia,exact
branchystegia,brachystegia,exact
\bkandonongwa\b,brachystegia,regex
\bkaumbwe\b,brachystegia,regex
brachystegia spiciformis,brachystegia spiciformis,regex
brastchegia spiciformis,brachystegia spiciformis,regex
brachystegia eurycoma,brachystegia eurycoma,regex
\bmiombo\b,brachystegia longifolia,regex
brachystegia longifolia,brachystegia longifolia,regex
cedro,cedrela odorata,exact
cedrela odorata,cedrela odorata,regex
cedrela red cedar,cedrela odorata,regex
cedrella odorata,cedrela odorata,regex
cedrella ordorata,cedrela odorata,regex
red cedar,cedrela odorata,regex
cedrela angusifolia,cedrela angustifolia,regex
cedrela cellulafera,cedrela serrata,exact
cedrela serrata,cedrela serrata,exact
cedrela sililata,cedrela serrata,exact
cedrella serrata,cedrela serrata,exact
cedrela fissilis,cedrela fissilis,regex
cedrella siensis,toona sinensis,exact
cecrophya pentandra,ceiba pentandra,regex
cedropia pentandra,ceiba pentandra,regex
ceiba pendratra,ceiba pentandra,regex
ceiba pentandra,ceiba pentandra,regex
ceiba petandra,ceiba pentandra,regex
ceipa pentranda,ceiba pentandra,regex
ciba patendo,ceiba pentandra,regex
cieba pentandra,ceiba pentandra,regex
secropia pentandra,ceiba pentandra,regex
seiva petranta,ceiba pentandra,regex
ceiba glaziovii,ceiba glaziovii,regex
ceiba speciosa,ceiba speciosa,regex
cola boxiana,cola boxiana,regex
cola acuminata,cola acuminata,regex
petit cola,garcinia kola,regex
small cola,garcinia kola,regex
cola laleritia,cola laleritia,regex
cola lepidota,cola lepidota,regex
monkey kola,cola lepidota,regex
cola coche,cola,regex
cola de coche,cola,regex
combtryum zeyheri,combretum zeyheri,regex
coton,croton,exact
croton,croton,exact
croton spp,croton,exact
coton megalocarpus,croton megalocarpus,regex
croton megalocapus,croton megalocarpus,regex
croton megalocarpus,croton megalocarpus,regex
croton megalocurpus,croton megalocarpus,regex
croton megalorcarpus,croton megalocarpus,regex
croton mergalorcarpus,croton megalocarpus,regex
croton wood,croton megalocarpus,regex
croton macrostachyus,croton macrostachyus,regex
croton macrostasyus,croton macrostachyus,regex
crtoton mycrostachus,croton macrostachyus,regex
croton mubamb,croton mubango,regex
cupressaceae lusitanica,cupressus lusitanica,regex
cupressaceae lustanica,cupressus lusitanica,regex
cupressus lusitanica,cupressus lusitanica,regex
cupresus lucitanica,cupressus lusitanica,regex
cupresus lustanica,cupressus lusitanica,regex
cupresuss lisitanica,cupressus lusitanica,regex
cypress lusitanica,cupressus lusitanica,regex
cypressus lustanica,cupressus lusitanica,regex
cyprus lusitanica,cupressus lusitanica,regex
cipres,cupressus,exact
cupressus cupressus,cupressus,exact
cypress,cupressus,exact
cypriot cedar,cedrus brevifolia,regex
cedar,cedrus,exact
cedrus cedar,cedrus,regex
douglas fir,pseudotsuga menziesii,regex
douglas-fir,pseudotsuga menziesii,regex
erithrina lystermon,erythrina lysistemon,regex
eucalyptus camalandis,eucalyptus camaldulensis,regex
eucalyptus camalnd,eucalyptus camaldulensis,regex
eucalyptus camandulensis,eucalyptus camaldulensis,regex
eucalnus saligna,eucalyptus saligna,regex
eaucalyptus,eucalyptus,exact
eucalyptus sp,eucalyptus,exact
eucaryptus,eucalyptus,exact
eucalyptus/gum trees,eucalyptus,regex
bluegum globulus,eucalyptus globulus,regex
eucalyptus commun,eucalyptus globulus,regex
eucalyptus glaulus,eucalyptus globulus,regex
eucalyptus globlus,eucalyptus globulus,regex
eucalyptus globules,eucalyptus globulus,regex
eucalyptus globules seedlings,eucalyptus globulus,regex
eucalyptus globulus,eucalyptus globulus,regex
teucalyptus globules,eucalyptus globulus,regex
eucalyptus mannifera,eucalyptus mannifera,regex
ficus vallis choudea,ficus vallis-choudae,regex
ficus sycamora,ficus sycomorus,regex
ficus sycomorus,ficus sycomorus,regex
ficus thon,ficus thonningii,regex
ficus thonningii,ficus thonningii,regex
ficus enormis,ficus enormis,regex
ficus,ficus,exact
ficus tree,ficus,exact
\bchitontho\b,ficus,regex
\bchivyalala\b,ficus,regex
\bmulevi\b,ficus,regex
\bnkhazi\b,ficus,regex
clerisidia,gliricidia sepium,exact
\bgliricidia\b,gliricidia sepium,regex
clerisidia sepium,gliricidia sepium,regex
gliciria sepium,gliricidia sepium,regex
gliricirdia sepuim,gliricidia sepium,regex
glurucudia sepium,gliricidia sepium,regex
arachide,arachis hypogaea,regex
arachides,arachis hypogaea,regex
arachis hypogaea,arachis hypogaea,regex
arachys hypogea,arachis hypogaea,regex
arrachide,arachis hypogaea,regex
gnuts,arachis hypogaea,regex
ground nuts,arachis hypogaea,regex
groundnuts,arachis hypogaea,regex
artocarpus heterophyllus,artocarpus heterophyllus,regex
jack fruit,artocarpus heterophyllus,regex
jackfruit,artocarpus heterophyllus,regex
vitellaria paradoxa,vitellaria paradoxa,regex
vitellariat paradoxa,vitellaria paradoxa,regex
mansonia altisima,mansonia altissima,regex
mansonia altissima,mansonia altissima,regex
mansonia ultisima,mansonia altissima,regex
musanga cecropioides,musanga cecropioides,regex
\bmaesopsis\b,maesopsis eminii,regex
maesopses eminii,maesopsis eminii,regex
maesopsis e,maesopsis eminii,regex
maesospsis eminii,maesopsis eminii,regex
measopsis eminni,maesopsis eminii,regex
moesopsis,maesopsis eminii,regex
musizi,maesopsis eminii,regex
milletia ferruginea,millettia ferruginea,regex
millitia ferrugenia,millettia ferruginea,regex
millitia ferruginol,millettia ferruginea,regex
karanj,millettia pinnata,regex
millettia pinnata,millettia pinnata,regex
pongamia pinnata,millettia pinnata,regex
mitragyna librostipulosa,mitragyna stipulosa,regex
moringa,moringa oleifera,exact
mulinga,moringa oleifera,exact
drumstick,moringa oleifera,regex
moringa oleifer,moringa oleifera,regex
moringa oleifera,moringa oleifera,regex
moringa oleifere,moringa oleifera,regex
moringa tree,moringa oleifera,regex
morus alba,morus alba,regex
morus mulberry tree,morus,regex
parkia biglobosa,parkia biglobosa,regex
parkia bicolor,parkia bicolor,regex
parquia biclor,parkia bicolor,regex
ndola,parkia filikodea,regex
african olive,olea africana,regex
olea africana,olea africana,regex
olea europaea sub cuspidate,olea africana,regex
olea europaea subsp africana,olea africana,regex
olea europaea subsp cuspidata,olea africana,regex
olea europea cuspidata,olea africana,regex
olea capensis,olea capensis,regex
olea welwichii,olea welwitschii,regex
olea welwischi,olea welwitschii,regex
olea welwitchschii,olea welwitschii,regex
olea wewyshii,olea welwitschii,regex
olea europae,olea europaea,exact
olea europea,olea europaea,exact
passion fruits,passiflora edulis,regex
passiflora ligularis,passiflora ligularis,regex
\bmufele\b,piliostigma thonningii,regex
philosyigma thonnongi,piliostigma thonningii,regex
piliostigma thonning,piliostigma thonningii,regex
piliostigma thonningi,piliostigma thonningii,regex
cajanus cajan,cajanus cajan,regex
pidgeon pea,cajanus cajan,regex
pigeon pea,cajanus cajan,regex
mkpen,pterocarpus erinaceus,regex
pterocarpus erinaceus,pterocarpus erinaceus,regex
mimuspos kummel,mimuspos kummel,regex
pear packham's triumph,pyrus communis,regex
pyrus communis,pyrus communis,regex
\bcourge\b,cucurbita pepo,regex
\bpumpkin\b,cucurbita pepo,regex
\bpumpkins\b,cucurbita pepo,regex
rahminus prinoides,rhamnus prinoides,regex
akpi,ricinodendron heudelotii,exact
ricinodendrom heudelotti,ricinodendron heudelotii,regex
ricinodendron heudelotii,ricinodendron heudelotii,regex
ricinodendron heudelott,ricinodendron heudelotii,regex
ricinodendron heudelotti,ricinodendron heudelotii,regex
ricinodendron heudoletii,ricinodendron heudelotii,regex
ricinodendron heulotii,ricinodendron heudelotii,regex
ricinodondron heudeleuti,ricinodendron heudelotii,regex
ricinodondron heudelotii,ricinodendron heudelotii,regex
\bkigelia\b,kigelia africana,regex
kigelia africana,kigelia africana,regex
kigeria africana,kigelia africana,regex
sausage tree,kigelia africana,regex
sorghum moench,sorghum bicolor,regex
sorghum mohench,sorghum bicolor,regex
le sorg,sorghum,regex
sorgho,sorghum,regex
sunflowers,helianthus annuus,regex
\bmatembela\b,ipomoea batatas,regex
\bmatembele\b,ipomoea batatas,regex
patate douce,ipomoea batatas,regex
sweet potato,ipomoea batatas,regex
\bpotato\b,solanum tuberosum,regex
irish potatoes,solanum tuberosum,regex
mbogabuchungu,solanum macrocarpon,regex
mbogabughungu,solanum macrocarpon,regex
mbogabushungu,solanum macrocarpon,regex
vetiver grass,chrysopogon zizanioides,regex
ayous,triplochiton scleroxylon,regex
triplochiton scleroxylon,triplochiton scleroxylon,regex
busala tuber,dioscorea hirtiflora,regex
dioscorea hirtiflora,dioscorea hirtiflora,regex
dioscorea,dioscorea,regex
ignames,dioscorea,regex
lucern,medicago sativa,regex
irvingia gabonensis,irvingia gabonensis,regex
tieghemella heckelii,tieghemella heckelii,regex
theo,theobroma cacao,exact
\bcacao\b,theobroma cacao,regex
\bcocoa\b,theobroma cacao,regex
theobroma ca,theobroma cacao,regex
theobroma caacao,theobroma cacao,regex
theobroma caca,theobroma cacao,regex
theobroma cacao,theobroma cacao,regex
theobroma caoa,theobroma cacao,regex
theobroma cocoa,theobroma cacao,regex
coccos nucifera,cocos nucifera,regex
coconut,cocos nucifera,regex
coconuts,cocos nucifera,regex
cocos nucifera,cocos nucifera,regex
cocus nucifera,cocos nucifera,regex
pomagranate,punica granatum,regex
pomegranate,punica granatum,regex
brocoli,brassica oleracea,regex
cabbage,brassica oleracea,regex
kale,brassica oleracea,regex
\bgrevillea\b,grevillea robusta,regex
grevilea robista,grevillea robusta,regex
grevilea robusta,grevillea robusta,regex
grevillea robusta,grevillea robusta,regex
grevillea robusts,grevillea robusta,regex
grievelia robusta,grevillea robusta,regex
southern silky oak,grevillea robusta,regex
sagaun,tectona grandis,exact
sal,tectona grandis,exact
teak,tectona grandis,exact
tectona grandis,tectona grandis,regex
milecia excelsa,milicia excelsa,regex
milicia excelsa,milicia excelsa,regex
millecia excelsa,milicia excelsa,regex
mivule,milicia excelsa,regex
capsicum frutescens,capsicum frutescens,regex
\bpepper\b,piper nigrum,regex
\bpoivrier\b,piper nigrum,regex
\bbirch\b,betula,regex
celery,apium graveolens,regex
grewia bicolar,grewia bicolor,regex
maple,acer,exact
acer saccharum,acer saccharum,regex
haricot,phaseolus vulgaris,regex
phaseoulus beans,phaseolus vulgaris,regex
leucaena cena,leucaena leucocephala,regex
leucaena lecena,leucaena leucocephala,regex
leucaena lecocephala,leucaena leucocephala,regex
leucaena leucecephala,leucaena leucocephala,regex
leucaena leucocephala,leucaena leucocephala,regex
leucaena leucocephiala,leucaena leucocephala,regex
leucaena leucpcephala,leucaena leucocephala,regex
leuceana leucocephala,leucaena leucocephala,regex
leuceana lycocefala,leucaena leucocephala,regex
luceana leucocephala,leucaena leucocephala,regex
luceane lococifra,leucaena leucocephala,regex
manihot esculenta,manihot esculenta,regex
manioc,manihot esculenta,regex
markhamia ob,markhamia obtusifolia,regex
niebe,vigna unguiculata,regex
vigna unguiculata,vigna unguiculata,regex
rosemary,salvia rosmarinus,regex
prekese,tetrapleura tetraptera,regex
tetrapleura tetrapetra,tetrapleura tetraptera,regex
tetrapleura tetraptera,tetrapleura tetraptera,regex
spinach,spinacia oleracea,regex
colocasia esculenta,colocasia esculenta,regex
\bananas\b,ananas comusus,regex
calostropis procera,calotropis procera,regex
calotropis procera,calotropis procera,regex
sodom apple,calotropis procera,regex
goyavia psidium,psidium guajava,regex
guajava,psidium guajava,regex
guava,psidium guajava,regex
pisdium goyava,psidium guajava,regex
psidium guajava,psidium guajava,regex
psidium guayana,psidium guajava,regex
psidium guayava,psidium guajava,regex
amaranth,amaranth,regex
lengalenga,amaranth,regex
\bwillow\b,salix,regex
salix \(various native vars\),salix,regex
casimiroa edulis,casimiroa edulis,regex
white sapote,casimiroa edulis,regex
semia chlorophora,chlorophora excelsa,regex
paradise apple,malus dasyphylla,regex
ziziphus mauritiana,ziziphus mauritiana,regex
ziziphus moriciana,ziziphus mauritiana,regex
ziziphus morticians,ziziphus mauritiana,regex
ziziphusmoriciana,ziziphus mauritiana,regex
\briz\b,rhizophora,regex
\bhazombato\b,kalanchoe orgyalis,regex
mitrigyna librostipulosa,mitragyna stipulosa,regex
picralima nitida,picralima nitida,regex
\bpimiento\b,capsicum annuum,regex
capsicum annuum,capsicum annuum,regex
eriobotrya,eriobotrya japonica,regex
gombo,abelmoschus esculentus,exact
okra,abelmoschus esculentus,exact
okro,abelmoschus esculentus,exact
\btavia\b,rhopalocarpus coriaceus,regex
\bsarimanga\b,noronhia,regex
\bwarburgia\b,warburgia ugandensis,regex
wambugia ugamdemesse,warburgia ugandensis,regex
\bphilenoptera\b,philenoptera violacea,regex
\boryza\b,oryza sativa,regex
\bgmelina\b,gmelina arborea,regex
\bkhameer\b,gmelina arborea,regex
\bkhamhar\b,gmelina arborea,regex
\bceriops\b,ceriops tagal,regex
prunas,prunus africana,exact
prunus,prunus africana,exact
prumus africana,prunus africana,regex
prunus africana,prunus africana,regex
prunus persic,prunus persica,regex
prunier,prunus domestica,regex
prunus domestica,prunus domestica,regex
prunus serotina,prunus serotina,regex
mwanga,pericopsis angolensis,exact
pericopsis elata,pericopsis elata,regex
\btsimitetra\b,ilex mitis,regex
ilex mitis,ilex mitis,regex
leucaena dephasfolia,leucaena diversifolia,regex
cocoyam,colocasia esculenta,regex
entandrophragma angolense,entandrophragma angolense,regex
entandrophragma cilindricum,entandrophragma cylindricum,regex
entandrophragma cylindricum,entandrophragma cylindricum,regex
entandrophragma candelei,entandrophragma candollei,regex
entandrophragma candollei,entandrophragma candollei,regex
entendrophragma candellei,entandrophragma candollei,regex
entendrophragma candolei,entandrophragma candollei,regex
cedar \(entandrophragma\),entandrophragma,regex
allinum cepa,allium cepa,regex
allunum cepa,allium cepa,regex
aloe africana,aloe africana,regex
aloe europea,aloe africana,regex
aloe barbadensis,aloe barbadensis,regex
aloe var barbadensis,aloe barbadensis,regex
aloe var chinensis,aloe chinensis,regex
aloe var secundiflora,aloe secundiflora,regex
avicenia germinans,avicennia germinans,regex
avicinnia germinans,avicennia germinans,regex
avicenna,avicennia,exact
avicennia,avicennia,exact
carapa procera,carapa procera,regex
carapa grandiflora,carapa grandiflora,regex
carapa guianensis,carapa guianensis,regex
cassia spectabilis,cassia spectabilis,regex
cassia leiandra,cassia leiandra,regex
amaltas,cassia fistula,regex
cordia africana,cordia africana,regex
cordial africana,cordia africana,regex
cordyla africana,cordia africana,regex
wanza,cordia africana,regex
cordia sebestena,cordia sebestena,regex
cordia milleni & c africana,cordia milleni,exact
cordia goeldiana,cordia goeldiana,regex
cucumber,cucumis sativus,regex
eucalyptus gunnii,eucalyptus gunnii,regex
hagenia abysinicca,hagenia abyssinica,regex
hagenia abyssinica,hagenia abyssinica,regex
hagenia habhysynica,hagenia abyssinica,regex
indigofera so,indigofera,exact
african pencil-cedar,juniperus procera,regex
janiperus procera,juniperus procera,regex
juniperas procera,juniperus procera,regex
juniperous procera,juniperus procera,regex
juniperus procera,juniperus procera,regex
juniperus procurus,juniperus procera,regex
juniperus virginiana,juniperus virginiana,regex
macadamia,macadamia integrifolia,exact
macadamia,macadamia integrifolia,regex
colophospermum mopane,colophospermum mopane,regex
myrsine africana,myrsine africana,regex
nuxia congesta,nuxia congesta,regex
pseudolachnostylis,pseudolachnostylis maprouneifolia,regex
pseuudolachnostylis,pseudolachnostylis maprouneifolia,regex
terminalia catappa,terminalia catappa,regex
tropical almond,terminalia catappa,regex
albizia lebbeck,albizia lebbeck,regex
albizia \(coriaria \),albizia coriara,regex
dombeya burgessiae,dombeya burgessiae,regex
dombea torida,dombeya torrida,regex
dombea toriida,dombeya torrida,regex
dombeya \(mukeu\),dombeya torrida,regex
dombeya goetzenii,dombeya torrida,regex
dombeya goetzi,dombeya torrida,regex
dombeya tarida,dombeya torrida,regex
dombeya torrida,dombeya torrida,regex
ndombeya,dombeya torrida,regex
monotes,monotes africanus,regex
pennisetum purpureum,pennisetum purpureum,regex
pennisetum pedicellatum,pennisetum pedicellatum,regex
podo carpus,podocarpus,exact
podocupus,podocarpus,exact
podocurpus mix,podocarpus,exact
pordocapus,podocarpus,exact
afrocarpus latifolia,podocarpus latifolius,regex
afrocarpus latifolius,podocarpus latifolius,regex
podo latifolia,podocarpus latifolius,regex
podocarpus latifolia,podocarpus latifolius,regex
podorcarpus latifolia,podocarpus latifolius,regex
podocapus fulcatus,afrocarpus falcatus,regex
podocarpus falcatus,afrocarpus falcatus,regex
podorcarpus falcatus,afrocarpus falcatus,regex
podocapus elatus,podocarpus elatus,regex
podocarpus elatus,podocarpus elatus,regex
podocarpus macrophyllus,podocarpus macrophyllus,regex
schizolobium,schizolobium parahyba,exact
schizolobium parahyba,schizolobium parahyba,regex
zi,zingiber officinale,exact
zing,zingiber officinale,exact
zingiber,zingiber officinale,regex
zingliber,zingiber officinale,regex
flamboyant,delonix regia,exact
delonix regia,delonix regia,regex
flambodea,delonix regia,regex
royal pointiciana,delonix regia,regex
cornius volkensi,cornus volkensii,regex
cornus volkensii,cornus volkensii,regex
