variant,taxonomic_name,match_type
\bpalmia\b,elaeis guineensis,regex
elaeis guineensis,elaeis guineensis,regex
palm tree,elaeis guineensis,regex
avocado,persea americana,regex
persea,persea americana,regex
anacardium excelsum,anacardium excelsum,exact
anacardium nanum,anacardium nanum,exact
anacardium,anacardium occidentale,exact
\banacarde\b,anacardium occidentale,regex
\banacardier\b,anacardium occidentale,regex
\banarcadier\b,anacardium occidentale,regex
anacarde anacardium occidentale,anacardium occidentale,regex
anacardium occidentale,anacardium occidentale,regex
anarcadium occidentale,anacardium occidentale,regex
cashew,anacardium occidentale,regex
baobab,adansonia digitata,exact
adansoni digitata,adansonia digitata,regex
adansonia didgitata,adansonia digitata,regex
adansonia digitat,adansonia digitata,regex
adansonia digitata,adansonia digitata,regex
adasonia digitata,adansonia digitata,regex
anansonia digitata,adansonia digitata,regex
andansonia digitata,adansonia digitata,regex
andasonia digitata,adansonia digitata,regex
andosonia digitata,adansonia digitata,regex
adansonia grandidieri,adansonia grandidieri,regex
acacia anguistissima,acaciella angustissima,regex
acacia angustima,acaciella angustissima,regex
acacia angustissima,acaciella angustissima,regex
acasia angustissima,acaciella angustissima,regex
a thomsonii,acacia thomsonii,exact
abrevispica,acacia brevispica,exact
\bdecurrens\b,acacia decurrens,regex
acacia aborea,acacia,exact
acacia saligina,acacia saligna,regex
akesia saligina,acacia saligna,regex
mol,acacia mangium,exact
acacia magnum,acacia mangium,regex
acacia mangium,acacia mangium,regex
molucata,acacia mangium,regex
acacia auriculoformis,acacia auriculoformis,regex
ear leaf acacia,acacia auriculoformis,regex
acacia geradii,acacia gerrardii,regex
acacia gerrardii,acacia gerrardii,regex
anilotica,vachellia nilotica,exact
acacia nilotica,vachellia nilotica,regex
vachellia nilotica,vachellia nilotica,regex
apolyacantha,acacia polyacantha,exact
asenegal,senegalia senegal,exact
a tortilis,vachellia tortilis,exact
umbrella,vachellia tortilis,exact
acacia tortalis,vachellia tortilis,regex
acacia tortilis,vachellia tortilis,regex
acacia tortillis,vachellia tortilis,regex
acaciia tortilis,vachellia tortilis,regex
thorny acacia,vachellia tortilis,regex
umbrella invoresia,vachellia tortilis,regex
umbrella thorn,vachellia tortilis,regex
umbrella tree,vachellia tortilis,regex
vachelia tortilis,vachellia tortilis,regex
vachellia tortilis,vachellia tortilis,regex
acacia xanthophloea,vachellia xanthophloea,exact
acascia xanthropholea,vachellia xanthophloea,exact
axanthophloea,vachellia xanthophloea,exact
acacia xanthophloea,vachellia xanthophloea,regex
xanthophloea,vachellia xanthophloea,regex
acacia galpinii,senegalia galpinii,regex
acacia mellifera,senegalia mellifera,regex
black thorn,senegalia mellifera,regex
honey acacias,senegalia mellifera,regex
albizia gumifera,albizia gummifera,regex
albizia gummefera,albizia gummifera,regex
albizia gummifera,albizia gummifera,regex
albizia gummifere,albizia gummifera,regex
albizia odoratissima,albizia odoratissima,regex
arundinaria alpina,arundinaria alpina,regex
arundinaria alpine,arundinaria alpina,regex
bamboo yushania,yushania alpina,regex
yushania alpina,yushania alpina,regex
bambous vulgaris,bambusa vulgaris,regex
bambousa vulgaris,bambusa vulgaris,regex
bamboussa vulgalis,bambusa vulgaris,regex
bambusa vugaris,bambusa vulgaris,regex
bambusa vulgaris,bambusa vulgaris,regex
bambusa vurlgaris,bambusa vulgaris,regex
dendrocalamus asper,dendrocalamus asper,regex
bamboussa,bambusa,exact
bamboo bamboosodea,bambusa,regex
bamboo bambusodea,bambusa,regex
bambusa bambos,bambusa,regex
bambusa cuttings,bambusa,regex
bambusoideae,bambusa,regex
bamboo,bamboo,exact
bamboo through convergence,bamboo,exact
bamboo trees,bamboo,exact
bamboos,bamboo,exact
indigenous bamboo,bamboo,exact
\blimon\b,citrus limon,regex
citronier,citrus limon,regex
citroniers,citrus limon,regex
citronnier,citrus limon,regex
citrus limom,citrus limon,regex
citrus limon,citrus limon,regex
lemon,citrus limon,regex
citrus aurantifolia,citrus aurantifolia,regex
citrus reticula,citrus reticulata,regex
mandalin,citrus reticulata,regex
mandariniers,citrus reticulata,regex
mandarins,citrus reticulata,regex
\borange\b,citrus sinensis,regex
\boranger\b,citrus sinensis,regex
\borangers\b,citrus sinensis,regex
