value,reason
wri production,non-species / invalid entry
claire shapiro,non-species / invalid entry
test,non-species / invalid entry
testtt,non-species / invalid entry
elizabeth lepage,non-species / invalid entry
geospatial workflow update,non-species / invalid entry
species,non-species / invalid entry
liza lepage,non-species / invalid entry
no non tree,non-species / invalid entry
no tree planted,non-species / invalid entry
no trees planted,non-species / invalid entry
no plating took place,non-species / invalid entry
plantation,non-species / invalid entry
not yet,non-species / invalid entry
a,non-species / invalid entry
b,non-species / invalid entry
c,non-species / invalid entry
gl,non-species / invalid entry
j,non-species / invalid entry
m,non-species / invalid entry
p,non-species / invalid entry
t,non-species / invalid entry
aucune,non-species / invalid entry
none,non-species / invalid entry
nontree feb,non-species / invalid entry
null,non-species / invalid entry
feb,non-species / invalid entry
"umbrellaovacaddo jack fruitmangoes,albizia",non-species / invalid entry
vegetables,non-species / invalid entry
local grasses,non-species / invalid entry
le ha,non-species / invalid entry
le ma,non-species / invalid entry
mil,non-species / invalid entry
assorted fruits,non-species / invalid entry
assorted Fruit and timber trees,non-species / invalid entry
dombea has been removed due to their seeds availability in project area (this was discussed with project manager,non-species / invalid entry
mixed indigenous,non-species / invalid entry
other fruit and timber trees,non-species / invalid entry
unidentified trees and shrubs,non-species / invalid entry
tukumombo,non-species / invalid entry
trees,non-species / invalid entry
quirisi-a,non-species / invalid entry
planting data for november,non-species / invalid entry
other sp,non-species / invalid entry
xxx,non-species / invalid entry
other,non-species / invalid entry
add species name,non-species / invalid entry
nom de l'espèce count,non-species / invalid entry
nom de lespece count,non-species / invalid entry
testspecies,non-species / invalid entry
aucun arbre,non-species / invalid entry
desconhecida,non-species / invalid entry
palo mazo no identificado esa especie,non-species / invalid entry
wild creepers,non-species / invalid entry
