priority,regex_source_column,exact_source_column,regex_pattern,exact_values,canonical_name,original_condition
1,species_normalized,,elaeis guineensis|\bpalmia\b|palm tree,,elaeis guineensis,"str_detect(           tree_species_name_clean,           ""elaeis guineensis|\\bpalmia\\b|palm tree""         )"
2,species_normalized,,avocado|persea,,persea americana,"str_detect(tree_species_name_clean, ""avocado|persea"")"
3,species_normalized,species_normalized,,anacardium excelsum,anacardium excelsum,"tree_species_name_clean %in% c(""anacardium excelsum"")"
4,species_normalized,species_normalized,,anacardium nanum,anacardium nanum,"tree_species_name_clean %in% c(""anacardium nanum"")"
5,species_normalized,species_normalized,cashew|anarcadium occidentale|anacarde anacardium occidentale|anacardium occidentale|\banacarde\b|\banacardier\b|\banarcadier\b,anacardium,anacardium occidentale,"str_detect(           tree_species_name_clean,           ""cashew|anarcadium occidentale|anacarde anacardium occidentale|anacardium occidentale|\\banacarde\\b|\\banacardier\\b|\\banarcadier\\b"")            | tree_species_name_clean %in% c(""anacardium"")"
6,species_normalized,species_normalized,andasonia digitata|adansonia digitata|andansonia digitata|adasonia digitata|anansonia digitata|andosonia digitata|adansonia didgitata|adansonia digitat|adansoni digitata,baobab,adansonia digitata,"str_detect(           tree_species_name_clean,           ""andasonia digitata|adansonia digitata|andansonia digitata|adasonia digitata|anansonia digitata|andosonia digitata|adansonia didgitata|adansonia digitat|adansoni digitata""         )         | tree_species_name_clean %in% c(""baobab"")"
7,species_normalized,,adansonia grandidieri,,adansonia grandidieri,"str_detect(tree_species_name_clean, ""adansonia grandidieri"")"
8,species_normalized,,acacia angustissima|acasia angustissima|acacia anguistissima|acacia angustima,,acaciella angustissima,"str_detect(           tree_species_name_clean,           ""acacia angustissima|acasia angustissima|acacia anguistissima|acacia angustima""         )"
9,species_normalized,species_normalized,,a thomsonii,acacia thomsonii,"tree_species_name_clean %in% c(""a thomsonii"")"
10,species_normalized,species_normalized,,abrevispica,acacia brevispica,"tree_species_name_clean %in% c(""abrevispica"")"
11,species_normalized,,\bdecurrens\b,,acacia decurrens,"str_detect(tree_species_name_clean, ""\\bdecurrens\\b"")"
12,species_normalized,species_normalized,,acacia aborea,acacia,"tree_species_name_clean %in% c(""acacia aborea"")"
13,species_normalized,,acacia saligina|akesia saligina,,acacia saligna,"str_detect(tree_species_name_clean, ""acacia saligina|akesia saligina"")"
14,species_normalized,species_normalized,molucata|acacia mangium|acacia magnum,mol,acacia mangium,"str_detect(           tree_species_name_clean,           ""molucata|acacia mangium|acacia magnum""         ) |           tree_species_name_clean %in% c(""mol"")"
15,species_normalized,,acacia auriculoformis|ear leaf acacia,,acacia auriculoformis,"str_detect(           tree_species_name_clean,           ""acacia auriculoformis|ear leaf acacia""         )"
