priority,regex_source_column,exact_source_column,regex_pattern,exact_values,canonical_name,original_condition
16,species_normalized,,acacia geradii|acacia gerrardii,,acacia gerrardii,"str_detect(tree_species_name_clean, ""acacia geradii|acacia gerrardii"")"
17,species_normalized,species_normalized,acacia nilotica|vachellia nilotica,anilotica,vachellia nilotica,"tree_species_name_clean %in% c(""anilotica"") |           str_detect(tree_species_name_clean, ""acacia nilotica|vachellia nilotica"")"
18,species_normalized,species_normalized,,apolyacantha,acacia polyacantha,"tree_species_name_clean %in% c(""apolyacantha"")"
19,species_normalized,species_normalized,,asenegal,senegalia senegal,"tree_species_name_clean %in% c(""asenegal"")"
20,species_normalized,species_normalized,umbrella thorn|umbrella tree|umbrella invoresia|acacia tortilis|vachellia tortilis|acacia tortalis|acacia tortillis|acaciia tortilis|vachelia tortilis|thorny acacia,umbrella || a tortilis,vachellia tortilis,"str_detect(           tree_species_name_clean,           ""umbrella thorn|umbrella tree|umbrella invoresia|acacia tortilis|vachellia tortilis|acacia tortalis|acacia tortillis|acaciia tortilis|vachelia tortilis|thorny acacia""         ) |           tree_species_name_clean %in% c(""umbrella"", ""a tortilis"")"
21,species_normalized,species_normalized,acacia xanthophloea|xanthophloea,acacia xanthophloea || acascia xanthropholea || axanthophloea,vachellia xanthophloea,"tree_species_name_clean %in% c(           ""acacia xanthophloea"",           ""acascia xanthropholea"",           ""axanthophloea""         ) |           str_detect(tree_species_name_clean, ""acacia xanthophloea|xanthophloea"")"
22,species_normalized,,acacia galpinii,,senegalia galpinii,"str_detect(tree_species_name_clean, ""acacia galpinii"")"
23,species_normalized,,black thorn|honey acacias|acacia mellifera,,senegalia mellifera,"str_detect(           tree_species_name_clean,           ""black thorn|honey acacias|acacia mellifera""         )"
24,species_normalized,,albizia gumifera|albizia gummifera|albizia gummifere|albizia gummefera,,albizia gummifera,"str_detect(           tree_species_name_clean,           ""albizia gumifera|albizia gummifera|albizia gummifere|albizia gummefera""         )"
25,species_normalized,,albizia odoratissima,,albizia odoratissima,"str_detect(tree_species_name_clean, ""albizia odoratissima"")"
26,species_normalized,,arundinaria alpine|arundinaria alpina,,arundinaria alpina,"str_detect(           tree_species_name_clean,           ""arundinaria alpine|arundinaria alpina""         )"
27,species_normalized,,bamboo yushania|yushania alpina,,yushania alpina,"str_detect(tree_species_name_clean, ""bamboo yushania|yushania alpina"")"
28,species_normalized,,bambousa vulgaris|bambusa vulgaris|bambous vulgaris|bambusa vugaris|bambusa vurlgaris|bamboussa vulgalis,,bambusa vulgaris,"str_detect(           tree_species_name_clean,           ""bambousa vulgaris|bambusa vulgaris|bambous vulgaris|bambusa vugaris|bambusa vurlgaris|bamboussa vulgalis""         )"
29,species_normalized,,dendrocalamus asper,,dendrocalamus asper,"str_detect(tree_species_name_clean, ""dendrocalamus asper"")"
30,species_normalized,species_normalized,bamboo bamboosodea|bamboo bambusodea|bambusa cuttings|bambusoideae|bambusa bambos,bamboussa,bambusa,"str_detect(           tree_species_name_clean,           ""bamboo bamboosodea|bamboo bambusodea|bambusa cuttings|bambusoideae|bambusa bambos""         ) |           tree_species_name_clean %in% c(""bamboussa"", ""bambous \\( \\)"")"
31,species_normalized,species_normalized,,bamboo || bamboos || indigenous bamboo || bamboo trees || bamboo through convergence,bamboo,"tree_species_name_clean %in% c(""bamboo"", ""bamboos"", ""indigenous bamboo"", ""bamboo trees"", ""bamboo through convergence"")"
32,species_normalized,,citrus limon|citronier|citronnier|lemon|citroniers|citrus limom|\blimon\b,,citrus limon,"str_detect(           tree_species_name_clean,           ""citrus limon|citronier|citronnier|lemon|citroniers|citrus limom|\\blimon\\b""         )"
33,species_normalized,,citrus aurantifolia,,citrus aurantifolia,"str_detect(tree_species_name_clean, ""citrus aurantifolia"")"
34,species_normalized,,mandariniers|mandarins|citrus reticula|mandalin,,citrus reticulata,"str_detect(           tree_species_name_clean,           ""mandariniers|mandarins|citrus reticula|mandalin""         )"
35,species_normalized,,citrus sinensis|citrus x sinensis|citrus â sinensis|\borange\b|\boranges\b|\boranger\b|\borangers\b|citrus cinensis|orangiers|cutrus siensis,,citrus sinensis,"str_detect(           tree_species_name_clean,           ""citrus sinensis|citrus x sinensis|citrus ◊ sinensis|\\borange\\b|\\boranges\\b|\\boranger\\b|\\borangers\\b|citrus cinensis|orangiers|cutrus siensis""         )"
36,species_normalized,species_normalized,,grape fruit,citrus paridisi,"tree_species_name_clean %in% c(""grape fruit"")"
37,species_normalized,species_normalized,mangifera indica|mangifera endica|mangifer endica|\bmango\b|\bmangoes\b|\bmangos\b|manjifera indidca|manguier|manguifera indica|amrapali,mangifera,mangifera indica,"str_detect(           tree_species_name_clean,           ""mangifera indica|mangifera endica|mangifer endica|\\bmango\\b|\\bmangoes\\b|\\bmangos\\b|manjifera indidca|manguier|manguifera indica|amrapali""         ) |           tree_species_name_clean %in% c(""mangifera"")"
38,species_normalized,,cassava|casaava,,manihot glaziovii,"str_detect(tree_species_name_clean, ""cassava|casaava"")"
39,species_normalized,,orita multicola|achuechue,,lannea welwitschii,"str_detect(tree_species_name_clean, ""orita multicola|achuechue"")"
40,species_normalized,,\bmaos\b|\bmaize\b|\bmao\b|\bmais\b|\bmaoes\b|\bzea\b|\bmai\b,,zea mays,"str_detect(           tree_species_name_clean,           ""\\bmaos\\b|\\bmaize\\b|\\bmao\\b|\\bmais\\b|\\bmaoes\\b|\\bzea\\b|\\bmai\\b""         )"
41,species_normalized,,uapaca spp|milanga,,uapaca,"str_detect(tree_species_name_clean, ""uapaca spp|milanga"")"
42,species_normalized,,uapaca guineensis|misela,,uapaca guineensis,"str_detect(tree_species_name_clean, ""uapaca guineensis|misela"")"
43,species_normalized,,uapaca kirkiana|aukapa kirkiana,,uapaca kirkiana,"str_detect(tree_species_name_clean, ""uapaca kirkiana|aukapa kirkiana"")"
44,species_normalized,,soja,,glycine max,"str_detect(tree_species_name_clean, ""soja"")"
45,species_normalized,,balanities eygptica|balanites aegyptiaca|balanites egyptica|balanites egyptiaca,,balanites aegyptiaca,"str_detect(           tree_species_name_clean,           ""balanities eygptica|balanites aegyptiaca|balanites egyptica|balanites egyptiaca""         )"
46,species_normalized,species_normalized,,ballantines,balanites,"tree_species_name_clean %in% c(""ballantines"")"
47,species_normalized,,robusta coffee|cafe robuster|cafe robusta|cofea robusta|caffea robusta,,coffea robusta,"str_detect(           tree_species_name_clean,           ""robusta coffee|cafe robuster|cafe robusta|cofea robusta|caffea robusta""         )"
48,species_normalized,,coffea arabica|cofea arabica|cafe arabica|coffeia arabica|coffe arabiga|coffe arabica|coffea arab|coffea arabic|coffea arabiga|coffea arabira|coffee arabica|coffefa arabica|coffie arabica|cafeiers arabica,,coffea arabica,"str_detect(           tree_species_name_clean,           ""coffea arabica|cofea arabica|cafe arabica|coffeia arabica|coffe arabiga|coffe arabica|coffea arab|coffea arabic|coffea arabiga|coffea arabira|coffee arabica|coffefa arabica|coffie arabica|cafeiers arabica""         )"
49,species_normalized,species_normalized,,cafe || coffee || coffea,coffea,"tree_species_name_clean %in% c(""cafe"", ""coffee"", ""coffea"")"
50,species_normalized,,african tulip tree|spathodea campanulata|african tulip|spatodea campanulata,,spathodea campanulata,"str_detect(           tree_species_name_clean,           ""african tulip tree|spathodea campanulata|african tulip|spatodea campanulata""         )"
51,species_normalized,,terminalis ivonronsis|terminalia ivorensis|ivory coast almond|tamalia ivorensis|gbaji|\bemire\b|\bframirÃ©\b|\bframire\b,,terminalia ivorensis,"str_detect(           tree_species_name_clean,           ""terminalis ivonronsis|terminalia ivorensis|ivory coast almond|tamalia ivorensis|gbaji|\\bemire\\b|\\bframiré\\b|\\bframire\\b""         )"
52,species_normalized,,acajou de bassam|accajou de bassam|khaya ivorensis|khama ivorensis|khya ivorensis|ivorensis,,khaya ivorensis,"str_detect(           tree_species_name_clean,           ""acajou de bassam|accajou de bassam|khaya ivorensis|khama ivorensis|khya ivorensis|ivorensis""         )"
53,species_normalized,,khaya senegalensis|kaya senegalensis,,khaya senegalensis,"str_detect(           tree_species_name_clean,           ""khaya senegalensis|kaya senegalensis""         )"
54,species_normalized,species_normalized,swietenia macrophylla,caoba,swietenia macrophylla,"str_detect(tree_species_name_clean, ""swietenia macrophylla"") |           tree_species_name_clean %in% c(""caoba"")"
55,species_normalized,,swietenia mahogani,,swietenia mahogani,"str_detect(tree_species_name_clean, ""swietenia mahogani"")"
56,species_normalized,,khaya anthotheca|khaya anthethe,,khaya anthotheca,"str_detect(tree_species_name_clean, ""khaya anthotheca|khaya anthethe"")"
57,species_normalized,,khaya grandifolia,,khaya grandifolia,"str_detect(tree_species_name_clean, ""khaya grandifolia"")"
58,species_normalized,,khaya senegalensis,,khaya senegalensis,"str_detect(tree_species_name_clean, ""khaya senegalensis"")"
59,species_normalized,,\bmahogany\b|\bmahagany\b,,khaya,"str_detect(tree_species_name_clean, ""\\bmahogany\\b|\\bmahagany\\b"")"
60,species_normalized,species_normalized,terminalia superba|terminalia super|terminalia of superba,frake || ofram,terminalia superba,"str_detect(           tree_species_name_clean,           ""terminalia superba|terminalia super|terminalia of superba""         ) |           tree_species_name_clean %in% c(""frake"", ""ofram"")"
61,species_normalized,,\btree tomatoes\b|tamarillo,,solanum betaceum,"str_detect(tree_species_name_clean, ""\\btree tomatoes\\b|tamarillo"")"
62,species_normalized,,\btomato\b|\btomate\b|\btomates\b|\btomatoes\b|\btotame\b|\btomaotoes\b,,solanum lycopersicum,"str_detect(           tree_species_name_clean,           ""\\btomato\\b|\\btomate\\b|\\btomates\\b|\\btomatoes\\b|\\btotame\\b|\\btomaotoes\\b""         )"
63,species_normalized,,trema orientalis,,trema orientalis,"str_detect(tree_species_name_clean, ""trema orientalis"")"
64,species_normalized,,papaya|pawpaw|paw paw|papayer,,carica papaya,"str_detect(tree_species_name_clean, ""papaya|pawpaw|paw paw|papayer"")"
65,species_normalized,,crossolier|corossolier|guanabana,,annona muricata,"str_detect(tree_species_name_clean, ""crossolier|corossolier|guanabana"")"
66,species_normalized,,annona cherimola,,annona cherimola,"str_detect(tree_species_name_clean, ""annona cherimola"")"
67,species_normalized,,annona reticulata,,annona reticulata,"str_detect(tree_species_name_clean, ""annona reticulata"")"
68,species_normalized,,custard apple|annona squamosa,,annona squamosa,"str_detect(tree_species_name_clean, ""custard apple|annona squamosa"")"
69,species_normalized,,heritaria utilis|haritaria utilis|heritaria utlis,,heritiera utilis,"str_detect(           tree_species_name_clean,           ""heritaria utilis|haritaria utilis|heritaria utlis""         )"
70,species_normalized,,melia azedach|melia azerach|china berry|chinaberry|melia azadirach,,melia azedarach,"str_detect(           tree_species_name_clean,           ""melia azedach|melia azerach|china berry|chinaberry|melia azadirach""         )"
71,species_normalized,species_normalized,melia volkensii|melia volkensi,melia,melia volkensii,"str_detect(tree_species_name_clean, ""melia volkensii|melia volkensi"")         |           tree_species_name_clean %in% c(""melia"")"
72,species_normalized,,isobelina duka|isobelinia duka|isoberlinia duka|isoberlina doka|etenghi,,isoberlinia doka,"str_detect(           tree_species_name_clean,           ""isobelina duka|isobelinia duka|isoberlinia duka|isoberlina doka|etenghi""         )"
73,species_normalized,,senna siamea|senna enamea|senna senamia|cacia siamea,,senna siamea,"str_detect(           tree_species_name_clean,           ""senna siamea|senna enamea|senna senamia|cacia siamea""         )"
74,species_normalized,,bauhinia petersianasian,,bauhinia petersiana,"str_detect(tree_species_name_clean, ""bauhinia petersianasian"")"
75,species_normalized,,\bplantin\b|\bplantain\b|\bplaintain\b|musa paradisiaca,,musa x paradisiaca,"str_detect(tree_species_name_clean, ""\\bplantin\\b|\\bplantain\\b|\\bplaintain\\b|musa paradisiaca"")"
76,species_normalized,,musaceae banana|\bbananas\b|\bbanana\b,,musa acuminata,"str_detect(           tree_species_name_clean,           ""musaceae banana|\\bbananas\\b|\\bbanana\\b""         )"
77,species_normalized,,faidherbia albida|faideiherbia albida|musangu|faiderbia albida,,faidherbia albida,"str_detect(           tree_species_name_clean,           ""faidherbia albida|faideiherbia albida|musangu|faiderbia albida""         )"
78,species_normalized,species_normalized,malus domestica|senga wambugu,apple || apples,malus domestica,"tree_species_name_clean %in% c(""apple"", ""apples"") |           str_detect(tree_species_name_clean, ""malus domestica|senga wambugu"")"
79,species_normalized,,syzgium guineense|syzygium guineese|syzygium quinensi|syzigium guineines|syzygium guineense,,syzygium guineense,"str_detect(           tree_species_name_clean,           ""syzgium guineense|syzygium guineese|syzygium quinensi|syzigium guineines|syzygium guineense""         )"
80,species_normalized,species_normalized,syzygium cordatum|syzgium cordatum,water berry,syzygium cordatum,"str_detect(tree_species_name_clean, ""syzygium cordatum|syzgium cordatum"") |           tree_species_name_clean %in% c(""water berry"")"
81,species_normalized,,syzygium zeyheri,,eugenia zeyheri,"str_detect(tree_species_name_clean, ""syzygium zeyheri"")"
82,species_normalized,species_normalized,syzygium cumini|sygizium cumini|zysygium cuminii,jamun,syzygium cumini,"str_detect(           tree_species_name_clean,           ""syzygium cumini|sygizium cumini|zysygium cuminii""         ) | tree_species_name_clean %in% c(""jamun"")"
83,species_normalized,,vitex payos,,vitex payos,"str_detect(tree_species_name_clean, ""vitex payos"")"
84,species_normalized,,swiss chard|beetroot,,beta vulgaris,"str_detect(tree_species_name_clean, ""swiss chard|beetroot"")"
85,species_normalized,species_normalized,\bneem\b|axadirachta|azadirochata indica|azadirachta indica|azadiritcha indica|azadiratcha indica|azandiratcha indica|azidracta indica,azadirachita || azadirachta,azadirachita indica,"str_detect(           tree_species_name_clean,           ""\\bneem\\b|axadirachta|azadirochata indica|azadirachta indica|azadiritcha indica|azadiratcha indica|azandiratcha indica|azidracta indica""         ) |           tree_species_name_clean %in% c(""azadirachita"", ""azadirachta"")"
86,species_normalized,,azadirachta excelsa,,azadirachta excelsa,"str_detect(tree_species_name_clean, ""azadirachta excelsa"")"
87,species_normalized,,swatziz madagacahensis|swartzia madagacahensis,,swartzia mangabalensis,"str_detect(           tree_species_name_clean,           ""swatziz madagacahensis|swartzia madagacahensis""         )"
88,species_normalized,species_normalized,bean - planted in ha,beans,vicia,"str_detect(tree_species_name_clean, ""bean - planted in ha"") |           tree_species_name_clean %in% c(""beans"")"
89,species_normalized,species_normalized,\bkaumbwe\b|\bkandonongwa\b,brachystegia || brachystegia spec || branchystegia,brachystegia,"tree_species_name_clean %in% c(""brachystegia"", ""brachystegia spec"", ""branchystegia"") |           str_detect(tree_species_name_clean, ""\\bkaumbwe\\b|\\bkandonongwa\\b"")"
90,species_normalized,,brastchegia spiciformis|brachystegia spiciformis,,brachystegia spiciformis,"str_detect(           tree_species_name_clean,           ""brastchegia spiciformis|brachystegia spiciformis""         )"
91,species_normalized,,brachystegia eurycoma,,brachystegia eurycoma,"str_detect(tree_species_name_clean, ""brachystegia eurycoma"")"
92,species_normalized,,brachystegia longifolia|\bmiombo\b,,brachystegia longifolia,"str_detect(           tree_species_name_clean,           ""brachystegia longifolia|\\bmiombo\\b""         )"
93,species_normalized,species_normalized,cedrella ordorata|cedrella odorata|cedrela red cedar|cedrela odorata|red cedar,cedro,cedrela odorata,"str_detect(           tree_species_name_clean,           ""cedrella ordorata|cedrella odorata|cedrela red cedar|cedrela odorata|red cedar""         ) |           tree_species_name_clean %in% c(""cedro"")"
94,species_normalized,,cedrela angusifolia,,cedrela angustifolia,"str_detect(tree_species_name_clean, ""cedrela angusifolia"")"
95,species_normalized,species_normalized,,cedrela sililata || cedrella serrata || cedrela serrata || cedrela cellulafera,cedrela serrata,"tree_species_name_clean %in% c(           ""cedrela sililata"",           ""cedrella serrata"",           ""cedrela serrata"",           ""cedrela cellulafera""         )"
96,species_normalized,,cedrela fissilis,,cedrela fissilis,"str_detect(tree_species_name_clean, ""cedrela fissilis"")"
97,species_normalized,species_normalized,,cedrella siensis,toona sinensis,"tree_species_name_clean %in% c(""cedrella siensis"")"
98,species_normalized,,ciba patendo|ceiba pentandra|ceiba pendratra|ceiba petandra|cieba pentandra|cecrophya pentandra|cedropia pentandra|secropia pentandra|ceipa pentranda|seiva petranta,,ceiba pentandra,"str_detect(           tree_species_name_clean,           ""ciba patendo|ceiba pentandra|ceiba pendratra|ceiba petandra|cieba pentandra|cecrophya pentandra|cedropia pentandra|secropia pentandra|ceipa pentranda|seiva petranta""         )"
99,species_normalized,,ceiba glaziovii,,ceiba glaziovii,"str_detect(tree_species_name_clean, ""ceiba glaziovii"")"
100,species_normalized,,ceiba speciosa,,ceiba speciosa,"str_detect(tree_species_name_clean, ""ceiba speciosa"")"
101,species_normalized,,cola boxiana,,cola boxiana,"str_detect(tree_species_name_clean, ""cola boxiana"")"
102,species_normalized,,cola acuminata,,cola acuminata,"str_detect(tree_species_name_clean, ""cola acuminata"")"
103,species_normalized,,petit cola|small cola,,garcinia kola,"str_detect(tree_species_name_clean, ""petit cola|small cola"")"
104,species_normalized,,cola laleritia,,cola laleritia,"str_detect(tree_species_name_clean, ""cola laleritia"")"
105,species_normalized,,cola lepidota|monkey kola,,cola lepidota,"str_detect(tree_species_name_clean, ""cola lepidota|monkey kola"")"
106,species_normalized,,cola coche|cola de coche,,cola,"str_detect(tree_species_name_clean, ""cola coche|cola de coche"")"
107,species_normalized,,combtryum zeyheri,,combretum zeyheri,"str_detect(tree_species_name_clean, ""combtryum zeyheri"")"
108,species_normalized,species_normalized,,croton spp || croton || coton,croton,"tree_species_name_clean %in% c(""croton spp"", ""croton"", ""coton"")"
109,species_normalized,,croton megalocarpus|croton wood|croton megalorcarpus|croton mergalorcarpus|croton megalocapus|croton megalocurpus|coton megalocarpus,,croton megalocarpus,"str_detect(           tree_species_name_clean,           ""croton megalocarpus|croton wood|croton megalorcarpus|croton mergalorcarpus|croton megalocapus|croton megalocurpus|coton megalocarpus""         )"
110,species_normalized,,crtoton mycrostachus|croton macrostasyus|croton macrostachyus,,croton macrostachyus,"str_detect(tree_species_name_clean, ""crtoton mycrostachus|croton macrostasyus|croton macrostachyus"")"
111,species_normalized,,croton mubamb,,croton mubango,"str_detect(tree_species_name_clean, ""croton mubamb"")"
112,species_normalized,,cupressaceae lustanica|cypress lusitanica|cupressus lusitanica|cupressaceae lusitanica|cupresus lustanica|cypressus lustanica|cyprus lusitanica|cupresus lucitanica|cupresuss lisitanica,,cupressus lusitanica,"str_detect(           tree_species_name_clean,           ""cupressaceae lustanica|cypress lusitanica|cupressus lusitanica|cupressaceae lusitanica|cupresus lustanica|cypressus lustanica|cyprus lusitanica|cupresus lucitanica|cupresuss lisitanica""         )"
113,species_normalized,species_normalized,,cipres || cypress || cupressus cupressus,cupressus,"tree_species_name_clean %in% c(""cipres"", ""cypress"", ""cupressus cupressus"")"
114,species_normalized,,cypriot cedar,,cedrus brevifolia,"str_detect(tree_species_name_clean, ""cypriot cedar"")"
115,species_normalized,species_normalized,cedrus cedar,cedar,cedrus,"str_detect(tree_species_name_clean, ""cedrus cedar"") |           tree_species_name_clean %in% c(""cedar"")"
116,species_normalized,,douglas fir|douglas-fir,,pseudotsuga menziesii,"str_detect(tree_species_name_clean, ""douglas fir|douglas-fir"")"
117,species_normalized,,erithrina lystermon,,erythrina lysistemon,"str_detect(tree_species_name_clean, ""erithrina lystermon"")"
118,species_normalized,,eucalyptus camalnd|eucalyptus camalandis|eucalyptus camandulensis,,eucalyptus camaldulensis,"str_detect(           tree_species_name_clean,           ""eucalyptus camalnd|eucalyptus camalandis|eucalyptus camandulensis""         )"
119,species_normalized,,eucalnus saligna,,eucalyptus saligna,"str_detect(tree_species_name_clean, ""eucalnus saligna"")"
120,species_normalized,species_normalized,eucalyptus/gum trees,eaucalyptus || eucaryptus || eucalyptus sp,eucalyptus,"str_detect(tree_species_name_clean, ""eucalyptus/gum trees"") |           tree_species_name_clean %in% c(""eaucalyptus"", ""eucaryptus"", ""eucalyptus sp"")"
121,species_normalized,,eucalyptus globules seedlings|eucalyptus glaulus|eucalyptus globlus|eucalyptus globules|eucalyptus globulus|teucalyptus globules|eucalyptus commun|bluegum globulus,,eucalyptus globulus,"str_detect(           tree_species_name_clean,           ""eucalyptus globules seedlings|eucalyptus glaulus|eucalyptus globlus|eucalyptus globules|eucalyptus globulus|teucalyptus globules|eucalyptus commun|bluegum globulus""         )"
122,species_normalized,,eucalyptus mannifera,,eucalyptus mannifera,"str_detect(tree_species_name_clean, ""eucalyptus mannifera"")"
123,species_normalized,,ficus vallis choudea,,ficus vallis-choudae,"str_detect(tree_species_name_clean, ""ficus vallis choudea"")"
124,species_normalized,,ficus sycamora|ficus sycomorus,,ficus sycomorus,"str_detect(tree_species_name_clean, ""ficus sycamora|ficus sycomorus"")"
125,species_normalized,,ficus thonningii|ficus thon,,ficus thonningii,"str_detect(tree_species_name_clean, ""ficus thonningii|ficus thon"")"
126,species_normalized,,ficus enormis,,ficus enormis,"str_detect(tree_species_name_clean, ""ficus enormis"")"
127,species_normalized,species_normalized,\bnkhazi\b|\bchivyalala\b|\bmulevi\b|\bchitontho\b|\bchivyalala\b,ficus tree || ficus,ficus,"tree_species_name_clean %in% c(""ficus tree"", ""ficus"") |           str_detect(tree_species_name_clean, ""\\bnkhazi\\b|\\bchivyalala\\b|\\bmulevi\\b|\\bchitontho\\b|\\bchivyalala\\b"")"
128,species_normalized,species_normalized,gliricirdia sepuim|\bgliricidia\b|gliciria sepium|clerisidia sepium|glurucudia sepium,clerisidia,gliricidia sepium,"str_detect(           tree_species_name_clean,           ""gliricirdia sepuim|\\bgliricidia\\b|gliciria sepium|clerisidia sepium|glurucudia sepium""         ) | tree_species_name_clean %in% c(""clerisidia"")"
129,species_normalized,,arachis hypogaea|ground nuts|groundnuts|gnuts|arachide|arrachide|arachides|arachys hypogea,,arachis hypogaea,"str_detect(           tree_species_name_clean,           ""arachis hypogaea|ground nuts|groundnuts|gnuts|arachide|arrachide|arachides|arachys hypogea""         )"
130,species_normalized,,jackfruit|jack fruit|artocarpus heterophyllus,,artocarpus heterophyllus,"str_detect(           tree_species_name_clean,           ""jackfruit|jack fruit|artocarpus heterophyllus""         )"
131,species_normalized,,vitellaria paradoxa|vitellariat paradoxa,,vitellaria paradoxa,"str_detect(           tree_species_name_clean,           ""vitellaria paradoxa|vitellariat paradoxa""         )"
132,species_normalized,,mansonia altissima|mansonia ultisima|mansonia altisima,,mansonia altissima,"str_detect(           tree_species_name_clean,           ""mansonia altissima|mansonia ultisima|mansonia altisima""         )"
133,species_normalized,,musanga cecropioides,,musanga cecropioides,"str_detect(tree_species_name_clean, ""musanga cecropioides"")"
134,species_normalized,,measopsis eminni|maesopsis e|maesopses eminii|maesospsis eminii|musizi|\bmaesopsis\b|moesopsis,,maesopsis eminii,"str_detect(           tree_species_name_clean,           ""measopsis eminni|maesopsis e|maesopses eminii|maesospsis eminii|musizi|\\bmaesopsis\\b|moesopsis""         )"
135,species_normalized,,millitia ferruginol|milletia ferruginea|milletia ferruginea|millitia ferrugenia,,millettia ferruginea,"str_detect(           tree_species_name_clean,           ""millitia ferruginol|milletia ferruginea|milletia ferruginea|millitia ferrugenia""         )"
136,species_normalized,,millettia pinnata|pongamia pinnata|karanj,,millettia pinnata,"str_detect(tree_species_name_clean, ""millettia pinnata|pongamia pinnata|karanj"")"
137,species_normalized,,mitragyna librostipulosa,,mitragyna stipulosa,"str_detect(tree_species_name_clean, ""mitragyna librostipulosa"")"
138,species_normalized,species_normalized,moringa oleifera|moringa oleifer|moringa oleifere|moringa tree|drumstick,moringa || mulinga,moringa oleifera,"str_detect(           tree_species_name_clean,           ""moringa oleifera|moringa oleifer|moringa oleifere|moringa tree|drumstick""         ) |           tree_species_name_clean %in% c(""moringa"", ""mulinga"")"
139,species_normalized,,morus alba,,morus alba,"str_detect(tree_species_name_clean, ""morus alba"")"
140,species_normalized,,morus mulberry tree,,morus,"str_detect(tree_species_name_clean, ""morus mulberry tree"")"
141,species_normalized,,parkia biglobosa,,parkia biglobosa,"str_detect(tree_species_name_clean, ""parkia biglobosa"")"
142,species_normalized,,parkia bicolor|parquia biclor,,parkia bicolor,"str_detect(tree_species_name_clean, ""parkia bicolor|parquia biclor"")"
143,species_normalized,,ndola,,parkia filikodea,"str_detect(tree_species_name_clean, ""ndola"")"
144,species_normalized,,olea europaea sub cuspidate|olea europaea subsp cuspidata|african olive|olea africana|olea europaea subsp africana|olea europea cuspidata,,olea africana,"str_detect(           tree_species_name_clean,           ""olea europaea sub cuspidate|olea europaea subsp cuspidata|african olive|olea africana|olea europaea subsp africana|olea europea cuspidata""         )"
145,species_normalized,,olea capensis,,olea capensis,"str_detect(tree_species_name_clean, ""olea capensis"")"
146,species_normalized,,olea welwichii|olea wewyshii|olea welwischi|olea welwitchschii,,olea welwitschii,"str_detect(           tree_species_name_clean,           ""olea welwichii|olea wewyshii|olea welwischi|olea welwitchschii""         )"
147,species_normalized,species_normalized,,olea europea || olea europae,olea europaea,"tree_species_name_clean %in% c(""olea europea"", ""olea europae"", ""olea europaea (weira)"", ""olea europaea subsp"")"
148,species_normalized,,passion fruits,,passiflora edulis,"str_detect(tree_species_name_clean, ""passion fruits"")"
